ID,Group ID,Ineligibility,P1 -Q1,P1 -Q2,P1 -Q3,P1 -Q4,P1 -Q5,P1 -Q6,P1 -Q7,P1 -Q8,P1 -Q9,P1 -Q10,P2-Q1,P2-Q2,P2-Q3,P2-Q4,P2-Q5,P2-Q6,P2-Q7,P2-Q8,P2-Q9,P2-Q10,P2-Q11,P2-Q12,P2-Q13,P2-Q14,P3-Q1,P3-Q2,P3-Q3,P3-Q4,P3-Q5,P3-Q6,P2-15,P3-Q7,P3-Q8,P3-Q9,P3-Q10,P3-Q11,P3-Q12,P3-Q13,P3-Q14,P3-Q15,P3-Q16,P3-Q17,P3-Q18,P3-Q19,P3-20,Dataset,Notes
16,2,,1,1,1,5,1,N/A,100,5,1,"Precison, Recall, F1-score, False Alarm Rate, Computational Overhead",4,4,1,5,1,1,4,1,5,5,5,0,1,1,5,4,N/A,1,1,1,5,N/A,1,5,5,5,2,1,0,0,0,1,0,1,5,CICIDS2017,
17,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2,,0,1,0,N/A,0,"Accuracy, F1",N/A,N/A,0,N/A,4,2,1,4,5,5,4,5,2,1,5,0,5,1,N/A,1,N/A,1,3,1,5,N/A,1,2,1,1,1,0,0,0,0,0,0,0,5,,
19,2,,1,1,1,N/A,1,N/A,99.45,5,1,"Precison, Recall, F1-score, ROC curve, PRC, FPI, FOR, TNR, MCC",5,5,4,5,4,3,4,5,4,5,5,0,5,4,5,4,4,1,1,3,5,5,1,5,4,5,5,1,0,0,0,1,0,1,5,,
20,2,,0,1,0,N/A,0,Accuracy,94,5,0,"Precison, Recall, F1-score",1,4,1,1,5,5,3,5,4,1,5,0,5,1,3,1,N/A,1,1,1,5,N/A,3,2,5,1,2,0,0,0,0,N/A,0,1,5,,
21,2,,0,1,0,N/A,0,F1,N/A,N/A,0,N/A,2,2,3,2,5,3,5,4,5,4,3,0,4,3,3,3,N/A,1,1,1,3,3,1,2,4,2,1,0,0,0,0,0,0,0,3,,
22,2,,0,2,1,4,0,Accuracy,N/A,N/A,1,SMOTE,1,4,1,4,5,5,3,5,1,1,5,0,5,1,2,2,N/A,1,N/A,1,5,2,3,1,1,1,1,1,0,0,0,0,0,0,5,,
23,2,,0,1,0,N/A,0,Accuracy,N/A,N/A,0,"N/A, Space Complexity, Time Complexity",4,5,5,2,4,5,5,5,4,5,5,0,5,4,1,1,1,N/A,N/A,1,5,5,1,1,2,1,2,0,0,0,0,N/A,N/A,0,4,KDD-Cup 20,
24,2,,0,1,0,5,0,F1,99.8,5,1,"Precison, Recall, F1-score",5,3,3,5,5,5,4,5,4,5,3,0,5,4,5,4,1,1,3,1,,5,1,4,5,1,1,1,1,0,0,N/A,0,1,5,"TON_IOT, CTU",
25,2,,0,2,0,N/A,0,Accuracy,N/A,N/A,0,"N/A, SMOTE, ENN, Tomek Links, ADASYN, SMOTEEN, SMOTETomek",3,1,1,5,5,5,5,5,5,1,4,0,5,4,1,2,1,1,2,1,,5,5,1,2,1,1,0,0,0,0,N/A,0,0,4,"NSL-KDD, UNSWNB15, CICIDS2017, IoT-BOTNERT 2",
